Ref,Val,Package,PosX,PosY,Rot,Side
"KSL1","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",46.009000,-74.790000,-170.000000,bottom
"KSL2","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",66.679642,-59.412930,-176.000000,bottom
"KSL3","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",87.609000,-49.290000,180.000000,bottom
"KSL4","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",105.639000,-57.790000,180.000000,bottom
"KSL5","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",123.609000,-60.490000,180.000000,bottom
"KSL6","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",48.935646,-91.508661,-170.000000,bottom
"KSL7","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",67.876323,-76.395174,-176.000000,bottom
"KSL8","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",87.609000,-66.290000,180.000000,bottom
"KSL9","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",105.609000,-74.790000,180.000000,bottom
"KSL10","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",123.609000,-77.490000,180.000000,bottom
"KSL11","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",51.862032,-108.239168,-170.000000,bottom
"KSL12","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",69.038358,-93.367071,-176.000000,bottom
"KSL13","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",87.639000,-83.290000,180.000000,bottom
"KSL14","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",105.609000,-91.790000,180.000000,bottom
"KSL15","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",123.609000,-94.490000,180.000000,bottom
"KSL16","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",32.809000,-103.890000,-170.000000,bottom
"KSL17","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",100.609000,-112.490000,180.000000,bottom
"KSL18","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",121.720309,-116.034096,165.000000,bottom
"KSL19","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",141.074064,-124.792628,150.000000,bottom
"KSR1","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",258.837994,-75.672591,170.000000,bottom
"KSR2","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",238.109000,-59.790000,176.000000,bottom
"KSR3","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",217.239000,-49.340000,180.000000,bottom
"KSR4","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",199.239000,-57.790000,180.000000,bottom
"KSR5","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",181.259000,-60.490000,180.000000,bottom
"KSR6","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",255.909000,-92.408925,170.000000,bottom
"KSR7","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",236.926178,-76.711712,176.000000,bottom
"KSR8","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",217.239000,-66.290000,180.000000,bottom
"KSR9","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",199.239000,-74.790000,180.000000,bottom
"KSR10","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",181.259000,-77.590000,180.000000,bottom
"KSR11","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",252.937994,-109.172591,170.000000,bottom
"KSR12","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",235.738212,-93.689815,176.000000,bottom
"KSR13","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",217.239000,-83.290000,180.000000,bottom
"KSR14","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",199.239000,-91.790000,180.000000,bottom
"KSR15","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",181.239000,-94.590000,180.000000,bottom
"KSR16","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",272.009000,-104.754761,170.000000,bottom
"KSR17","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",204.259000,-112.490000,180.000000,bottom
"KSR18","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",183.008516,-114.770868,-165.000000,bottom
"KSR19","CPG135001S30","CONN-SMD_HOTPLUGPAKAGE__C9900010116",163.155967,-122.290000,-150.000000,bottom
