Ref,Val,Package,PosX,PosY,Rot,Side
"BAT+1","+","BatteryPad",87.000000,-99.000000,0.000000,top
"BAT+2","+","BatteryPad",213.000000,-99.000000,0.000000,top
"BATGND1","-","BatteryPad",92.000000,-99.000000,0.000000,top
"BATGND2","-","BatteryPad",208.000000,-99.000000,0.000000,top
"DL1","D_Small","Diode_SOD123",140.677565,-97.695348,-90.000000,top
"DL2","D_Small","Diode_SOD123",140.677565,-90.496348,-90.000000,top
"DL3","D_Small","Diode_SOD123",140.677565,-83.292348,-90.000000,top
"DL4","D_Small","Diode_SOD123",140.677565,-76.093348,-90.000000,top
"DL5","D_Small","Diode_SOD123",140.677565,-68.894348,-90.000000,top
"DL6","D_Small","Diode_SOD123",137.127565,-97.695348,-90.000000,top
"DL7","D_Small","Diode_SOD123",137.127565,-90.496348,-90.000000,top
"DL8","D_Small","Diode_SOD123",137.127565,-83.297348,-90.000000,top
"DL9","D_Small","Diode_SOD123",137.127565,-76.093348,-90.000000,top
"DL10","D_Small","Diode_SOD123",137.127565,-68.894348,-90.000000,top
"DL11","D_Small","Diode_SOD123",133.577565,-97.695348,-90.000000,top
"DL12","D_Small","Diode_SOD123",133.577565,-90.496348,-90.000000,top
"DL13","D_Small","Diode_SOD123",133.577565,-83.297348,-90.000000,top
"DL14","D_Small","Diode_SOD123",133.577565,-76.093348,-90.000000,top
"DL15","D_Small","Diode_SOD123",133.577565,-68.894348,-90.000000,top
"DL16","D_Small","Diode_SOD123",34.000000,-98.500000,10.000000,top
"DL17","D_Small","Diode_SOD123",133.577565,-104.894348,-90.000000,top
"DL18","D_Small","Diode_SOD123",137.127565,-104.894348,-90.000000,top
"DL19","D_Small","Diode_SOD123",140.677565,-104.894348,-90.000000,top
"DR1","D_Small","Diode_SOD123",166.422435,-97.695348,-90.000000,top
"DR2","D_Small","Diode_SOD123",166.422435,-90.496348,-90.000000,top
"DR3","D_Small","Diode_SOD123",166.422435,-83.297348,-90.000000,top
"DR4","D_Small","Diode_SOD123",166.422435,-76.093348,-90.000000,top
"DR5","D_Small","Diode_SOD123",166.422435,-68.894348,-90.000000,top
"DR6","D_Small","Diode_SOD123",162.872435,-97.695348,-90.000000,top
"DR7","D_Small","Diode_SOD123",162.872435,-90.496348,-90.000000,top
"DR8","D_Small","Diode_SOD123",162.872435,-83.297348,-90.000000,top
"DR9","D_Small","Diode_SOD123",162.872435,-76.093348,-90.000000,top
"DR10","D_Small","Diode_SOD123",162.872435,-68.894348,-90.000000,top
"DR11","D_Small","Diode_SOD123",159.322435,-97.695348,-90.000000,top
"DR12","D_Small","Diode_SOD123",159.322435,-90.496348,-90.000000,top
"DR13","D_Small","Diode_SOD123",159.322435,-83.297348,-90.000000,top
"DR14","D_Small","Diode_SOD123",159.322435,-76.093348,-90.000000,top
"DR15","D_Small","Diode_SOD123",159.322435,-68.894348,-90.000000,top
"DR16","D_Small","Diode_SOD123",266.000000,-98.500000,170.000000,top
"DR17","D_Small","Diode_SOD123",166.422435,-104.894348,-90.000000,top
"DR18","D_Small","Diode_SOD123",162.872435,-104.894348,-90.000000,top
"DR19","D_Small","Diode_SOD123",159.322435,-104.894348,-90.000000,top
"J1","PJ-320A","AUDIO-TH_XKB_PJ-320A",138.200000,-56.900000,-90.000000,top
"J2","PJ-320A","AUDIO-TH_XKB_PJ-320A",161.800000,-56.900000,-90.000000,top
"LEDL1","LED","LED0603-R-RD_WHITE",44.987846,-83.861081,-170.000000,top
"LEDL2","LED","LED0603-R-RD_WHITE",64.801949,-68.255805,-176.000000,top
"LEDL3","LED","LED0603-R-RD_WHITE",85.200000,-58.000000,180.000000,top
"LEDL4","LED","LED0603-R-RD_WHITE",103.200000,-66.400000,180.000000,top
"LEDL5","LED","LED0603-R-RD_WHITE",121.200000,-69.200000,180.000000,top
"LEDL6","LED","LED0603-R-RD_WHITE",48.000000,-100.600000,-170.000000,top
"LEDL7","LED","LED0603-R-RD_WHITE",66.001949,-85.255805,-176.000000,top
"LEDL8","LED","LED0603-R-RD_WHITE",85.200000,-75.000000,180.000000,top
"LEDL9","LED","LED0603-R-RD_WHITE",103.200000,-83.400000,180.000000,top
"LEDL10","LED","LED0603-R-RD_WHITE",121.000000,-86.200000,180.000000,top
"LEDL11","LED","LED0603-R-RD_WHITE",50.987846,-117.261081,-170.000000,top
"LEDL12","LED","LED0603-R-RD_WHITE",67.001949,-102.255805,-176.000000,top
"LEDL13","LED","LED0603-R-RD_WHITE",85.200000,-92.000000,180.000000,top
"LEDL14","LED","LED0603-R-RD_WHITE",103.300000,-100.400000,180.000000,top
"LEDL15","LED","LED0603-R-RD_WHITE",121.000000,-103.200000,180.000000,top
"LEDL16","LED","LED0603-R-RD_WHITE",31.800000,-112.938919,-170.000000,top
"LEDL17","LED","LED0603-R-RD_WHITE",98.200000,-121.200000,180.000000,top
"LEDL18","LED","LED0603-R-RD_WHITE",117.227259,-123.792945,165.000000,top
"LEDL19","LED","LED0603-R-RD_WHITE",134.707180,-131.200000,150.000000,top
"LEDR1","LED","LED0603-R-RD_WHITE",254.912154,-83.861081,170.000000,top
"LEDR2","LED","LED0603-R-RD_WHITE",235.198051,-68.255805,176.000000,top
"LEDR3","LED","LED0603-R-RD_WHITE",214.800000,-58.000000,180.000000,top
"LEDR4","LED","LED0603-R-RD_WHITE",196.700000,-66.500000,180.000000,top
"LEDR5","LED","LED0603-R-RD_WHITE",178.800000,-69.200000,180.000000,top
"LEDR6","LED","LED0603-R-RD_WHITE",252.012154,-100.561081,170.000000,top
"LEDR7","LED","LED0603-R-RD_WHITE",234.001949,-85.244195,176.000000,top
"LEDR8","LED","LED0603-R-RD_WHITE",214.800000,-75.000000,180.000000,top
"LEDR9","LED","LED0603-R-RD_WHITE",196.700000,-83.500000,180.000000,top
"LEDR10","LED","LED0603-R-RD_WHITE",178.700000,-86.300000,180.000000,top
"LEDR11","LED","LED0603-R-RD_WHITE",249.112154,-117.361081,170.000000,top
"LEDR12","LED","LED0603-R-RD_WHITE",232.701949,-102.244195,176.000000,top
"LEDR13","LED","LED0603-R-RD_WHITE",214.900000,-92.000000,180.000000,top
"LEDR14","LED","LED0603-R-RD_WHITE",196.800000,-100.500000,180.000000,top
"LEDR15","LED","LED0603-R-RD_WHITE",178.700000,-103.300000,180.000000,top
"LEDR16","LED","LED0603-R-RD_WHITE",268.012154,-112.861082,170.000000,top
"LEDR17","LED","LED0603-R-RD_WHITE",201.800000,-121.200000,180.000000,top
"LEDR18","LED","LED0603-R-RD_WHITE",182.827259,-123.807055,-165.000000,top
"LEDR19","LED","LED0603-R-RD_WHITE",165.500000,-131.000000,-150.000000,top
"PSW1","SW_SPDT","MSK12C02",69.000000,-50.000000,-90.000000,top
"PSW2","SW_SPDT","MSK12C02",238.800000,-50.000000,-90.000000,top
"RSW1","SKHLLCA010","KEY-TH_SKHLLCA010",123.000000,-52.570000,180.000000,top
"RSW2","SKHLLCA010","KEY-TH_SKHLLCA010",177.000000,-52.830000,180.000000,top
"RV1","R_Potentiometer","RES-ADJ-SMD_GF063P1",73.200000,-118.000000,0.000000,top
"RV2","R_Potentiometer","RES-ADJ-SMD_GF063P1",225.200000,-117.975000,0.000000,top
"SWL1","SW_Push_45deg","Kailh_socket_PG1350_optional",44.350509,-79.997401,10.000000,top
"SWL2","SW_Push_45deg","Kailh_socket_PG1350_optional",64.530814,-64.446731,4.000000,top
"SWL3","SW_Push_45deg","Kailh_socket_PG1350_optional",85.129229,-54.167968,0.000000,top
"SWL4","SW_Push_45deg","Kailh_socket_PG1350_optional",103.129241,-62.604447,0.000000,top
